source,target
1285236938556035075,1285082626467008512
1285211514580930560,1285082626467008512
1285147431391420416,1285082626467008512
1285084762210697218,1285082626467008512
1282891589820592128,1282891332181270529
1282170303586676737,1282106145964990467
1282149248671395842,1282106145964990467
1282138822839545857,1282106145964990467
1282125840046850049,1282106145964990467
1282125162926743553,1282106145964990467
1282119339831963648,1282106145964990467
1282117168247840768,1282106145964990467
1282110980579885057,1282106145964990467
1282110494661316609,1282106145964990467
1282107024575258626,1282106145964990467
1282106854060044288,1282106145964990467
1282106633993289733,1282106145964990467
1282130669280399360,1282099948356620289
1282100861951520769,1282099948356620289
1282022726312628227,1282020202905956352
1280696313156378628,1280649518254620672
1280695457270956035,1280649518254620672
1280674297149902854,1280649518254620672
1280672861389312002,1280649518254620672
1280669324592721920,1280649518254620672
1280650958503055360,1280649518254620672
1280649853404659715,1280649518254620672
1283163873059774466,1280627653494681605
1280793677376487424,1280627653494681605
1280739029986824192,1280627653494681605
1280631699945242630,1280627653494681605
1280630925525757952,1280627653494681605
1280630627696553989,1280627653494681605
1280630362197168130,1280627653494681605
1280629546119815169,1280627653494681605
1280629279068491776,1280627653494681605
1280628631061045248,1280627653494681605
1280627898743951362,1280627653494681605
1280636897761595394,1280623386251661326
1280623922338283521,1280622798231216128
1280622969899945986,1280622798231216128
1280619047504273411,1280617956297277441
1282052324370853889,1280600750419140609
1282051013369888776,1280600750419140609
1280638957286539264,1280600750419140609
1280607162713223168,1280600750419140609
1280604169678749703,1280600750419140609
1280602430468698114,1280600750419140609
1280601594820780035,1280600750419140609
1280601249944125447,1280600750419140609
1280601169635815434,1280600750419140609
1280601163495284737,1280600750419140609
1280677765734445057,1280580333080018946
1281287879474454531,1280530870315683841
1280700773140217858,1280530870315683841
1280568384053293058,1280530870315683841
1280535683824836611,1280530870315683841
1280584955400278016,1280525961818185730
1280549823393955840,1280525961818185730
1280532808570671106,1280525961818185730
1280527134377771009,1280525961818185730
1280544943254233088,1280519071390404609
1280533485040668673,1280519071390404609
1280532466311344129,1280519071390404609
1280713247629479937,1280515710456860673
1280565723971141634,1280515710456860673
1280551514348687361,1280515710456860673
1280534732065910784,1280515710456860673
1280532866884132866,1280515710456860673
1280518722927681537,1280515710456860673
1280517268158513152,1280515710456860673
1280533239325757444,1280506857577119745
1280519394871906309,1280506857577119745
1280510917390860295,1280506857577119745
1280509202608394253,1280506857577119745
1280507691153215495,1280506857577119745
1280507289351446529,1280506857577119745
1280563872131407873,1280498503563849728
1280499488164061184,1280498503563849728
1280489321615761408,1280483649859837953
1280542869149962240,1280478081644466178
1280520301802127362,1280439813729144832
1280631449222295556,1280340911399014401
1280483667333337088,1280340911399014401
1280343325363625989,1280340911399014401
1280349077084033025,1280320660619829253
1280321057845645312,1280320660619829253
1280325325851963394,1280319629618024450
1280322061865533440,1280319629618024450
1280330076593291264,1280310602322153473
1280342187650068482,1280298376274284545
1282573764170002433,1280298061214945280
1282023788188762113,1280298061214945280
1280701833443520512,1280298061214945280
1280656521450254337,1280298061214945280
1280654223231913985,1280298061214945280
1280632470141050882,1280298061214945280
1280627194172190720,1280298061214945280
1280625282072883200,1280298061214945280
1280619385892331520,1280298061214945280
1280608044758507522,1280298061214945280
1280603291005714432,1280298061214945280
1280599367536250883,1280298061214945280
1280569039614545920,1280298061214945280
1280567830967209985,1280298061214945280
1280566514198986753,1280298061214945280
1280559947512774657,1280298061214945280
1280558590034620418,1280298061214945280
1280551260874301444,1280298061214945280
1280548894624096257,1280298061214945280
1280547962494562311,1280298061214945280
1280547623594844161,1280298061214945280
1280546362908708866,1280298061214945280
1280545710253969408,1280298061214945280
1280544007291121664,1280298061214945280
1280542117945913351,1280298061214945280
1280541162823192579,1280298061214945280
1280541096129564673,1280298061214945280
1280540434280873987,1280298061214945280
1280533567060271105,1280298061214945280
1280525571265630211,1280298061214945280
1280517578629275648,1280298061214945280
1280506599468142593,1280298061214945280
1280501160508633088,1280298061214945280
1280500460756045825,1280298061214945280
1280492498511695874,1280298061214945280
1280492419109146624,1280298061214945280
1280491827863400451,1280298061214945280
1280488475914047489,1280298061214945280
1280486490427076608,1280298061214945280
1280482442114215938,1280298061214945280
1280480351052333056,1280298061214945280
1280471746035007488,1280298061214945280
1280469035558338562,1280298061214945280
1280466804167651328,1280298061214945280
1280462000812969984,1280298061214945280
1280444587086155781,1280298061214945280
1280431877036429312,1280298061214945280
1280427243286794242,1280298061214945280
1280422614616375296,1280298061214945280
1280421922363359233,1280298061214945280
1280413262333566977,1280298061214945280
1280411751239081986,1280298061214945280
1280401726466592768,1280298061214945280
1280396929344684032,1280298061214945280
1280383884157423616,1280298061214945280
1280383399933415425,1280298061214945280
1280382673349943296,1280298061214945280
1280372721361223681,1280298061214945280
1280366444002398208,1280298061214945280
1280364370468503552,1280298061214945280
1280363788814950402,1280298061214945280
1280359734877597696,1280298061214945280
1280354419029299200,1280298061214945280
1280353098469445633,1280298061214945280
1280352900682846208,1280298061214945280
1280350644919025664,1280298061214945280
1280350498705551360,1280298061214945280
1280350365511233537,1280298061214945280
1280349639552774159,1280298061214945280
1280346866849394688,1280298061214945280
1280346554885382145,1280298061214945280
1280343397405003776,1280298061214945280
1280343200507576320,1280298061214945280
1280343151463497734,1280298061214945280
1280341683318722560,1280298061214945280
1280340211810140161,1280298061214945280
1280339776911093768,1280298061214945280
1280336349233664000,1280298061214945280
1280336109780729856,1280298061214945280
1280335694666309633,1280298061214945280
1280335637795782657,1280298061214945280
1280334611449552896,1280298061214945280
1280333796127145984,1280298061214945280
1280333499837317125,1280298061214945280
1280333435970543616,1280298061214945280
1280332981404667905,1280298061214945280
1280332665040838661,1280298061214945280
1280332443036323840,1280298061214945280
1280329483334148101,1280298061214945280
1280329074410389509,1280298061214945280
1280326828138418178,1280298061214945280
1280326674698113025,1280298061214945280
1280325254385197057,1280298061214945280
1280324263615004674,1280298061214945280
1280324252055547904,1280298061214945280
1280323837977124864,1280298061214945280
1280323555482308621,1280298061214945280
1280322112813772801,1280298061214945280
1280321989111164928,1280298061214945280
1280321784382926850,1280298061214945280
1280321601595211777,1280298061214945280
1280321348670275584,1280298061214945280
1280321193640427520,1280298061214945280
1280321073737805825,1280298061214945280
1280320811233087489,1280298061214945280
1280319834081853440,1280298061214945280
1280318360014786561,1280298061214945280
1280318170906140672,1280298061214945280
1280318047333617666,1280298061214945280
1280317035944136704,1280298061214945280
1280316302209449985,1280298061214945280
1280316275894386689,1280298061214945280
1280316159523463168,1280298061214945280
1280315537571151873,1280298061214945280
1280315274684760070,1280298061214945280
1280315069092564993,1280298061214945280
1280314941929644032,1280298061214945280
1280314694084034560,1280298061214945280
1280314048693895169,1280298061214945280
1280313314690678790,1280298061214945280
1280312715274326019,1280298061214945280
1280312703790264321,1280298061214945280
1280312493185826816,1280298061214945280
1280312384268185603,1280298061214945280
1280312274985590784,1280298061214945280
1280312210489847808,1280298061214945280
1280312014221516800,1280298061214945280
1280311149439979525,1280298061214945280
1280310700880154630,1280298061214945280
1280310397703241729,1280298061214945280
1280310077728186370,1280298061214945280
1280309975148101632,1280298061214945280
1280309735380733952,1280298061214945280
1280309694129754113,1280298061214945280
1280309071065894912,1280298061214945280
1280308928488919042,1280298061214945280
1280308604831174656,1280298061214945280
1280308595628933121,1280298061214945280
1280308496374935553,1280298061214945280
1280308392398069760,1280298061214945280
1280307899005390848,1280298061214945280
1280307803471708161,1280298061214945280
1280307665923641344,1280298061214945280
1280307517885734912,1280298061214945280
1280307472167694337,1280298061214945280
1280307454023213057,1280298061214945280
1280307318589194240,1280298061214945280
1280307290323722241,1280298061214945280
1280307060257718272,1280298061214945280
1280306985301409793,1280298061214945280
1280306855139594240,1280298061214945280
1280306122159783936,1280298061214945280
1280305918568210432,1280298061214945280
1280305450815193090,1280298061214945280
1280305412122828804,1280298061214945280
1280304790661144578,1280298061214945280
1280304466735042560,1280298061214945280
1280304245942767618,1280298061214945280
1280303892551602176,1280298061214945280
1280303702767816704,1280298061214945280
1280303702021156866,1280298061214945280
1280303697185120256,1280298061214945280
1280303372260827138,1280298061214945280
1280303080249135106,1280298061214945280
1280302943170936838,1280298061214945280
1280302844382453761,1280298061214945280
1280302259298078720,1280298061214945280
1280302108546404354,1280298061214945280
1280301802488020994,1280298061214945280
1280301613387825153,1280298061214945280
1280301453656145921,1280298061214945280
1280301100483186693,1280298061214945280
1280300848954986496,1280298061214945280
1280300805552246790,1280298061214945280
1280300686383763460,1280298061214945280
1280300538186301440,1280298061214945280
1280300396716662784,1280298061214945280
1280300146954248193,1280298061214945280
1280300086933835776,1280298061214945280
1280300026984611843,1280298061214945280
1280299877558255616,1280298061214945280
1280299860865015809,1280298061214945280
1280299707311554560,1280298061214945280
1280299674008719360,1280298061214945280
1280299649153318914,1280298061214945280
1280299490851815425,1280298061214945280
1280299478638039047,1280298061214945280
1280299328863641606,1280298061214945280
1280299286308229120,1280298061214945280
1280299211880308736,1280298061214945280
1280299114413068289,1280298061214945280
1280299087930232832,1280298061214945280
1280299034872332288,1280298061214945280
1280298948184375296,1280298061214945280
1280298892026949634,1280298061214945280
1280298864302526466,1280298061214945280
1280298849920331776,1280298061214945280
1280298847445692416,1280298061214945280
1280298775735648257,1280298061214945280
1280298491420585984,1280298061214945280
1280298435317583873,1280298061214945280
1280298412919918592,1280298061214945280
1280298409237393408,1280298061214945280
1280298391122128905,1280298061214945280
1280473921486237696,1280291575398985728
1280291982309494787,1280291575398985728
1280291912877068289,1280291575398985728
1280250873831137282,1280236920442966016
1280260804370145280,1280233708101013506
1280256618060558336,1280233708101013506
1280238978734710784,1280233708101013506
1280234458831036424,1280233708101013506
1280234364450848774,1280233708101013506
1280251182380994560,1280230303148019712
1280251109106483200,1280230303148019712
1280243096840802304,1280230303148019712
1280240409034309638,1280230303148019712
1280237901532495872,1280230303148019712
1280234201116299270,1280230303148019712
1280232460920541192,1280230303148019712
1280232334474850306,1280230303148019712
1280231991242305537,1280230303148019712
1280231468602740736,1280230303148019712
1280230706795380737,1280230303148019712
1280715717667631104,1280223891688960000
1280553813091463169,1280223891688960000
1280540019850129408,1280223891688960000
1280538269374128130,1280223891688960000
1280536866606010369,1280223891688960000
1280343657682477056,1280223891688960000
1280343279297376256,1280223891688960000
1280242036914950149,1280223891688960000
1280240040971558912,1280223891688960000
1280231342907764737,1280223891688960000
1280231189433982976,1280223891688960000
1280230482098225156,1280223891688960000
1280230227663376385,1280223891688960000
1280229796501471232,1280223891688960000
1280228640865869824,1280223891688960000
1280226522880774144,1280223891688960000
1280225925544783874,1280223891688960000
1280224795599220737,1280223891688960000
1280259146940592138,1280222630776393729
1280244163989188617,1280222630776393729
1280235055827300354,1280222630776393729
1280223676214976514,1280222630776393729
1280311192955654145,1280217675839479809
1280272549012811778,1280217675839479809
1280237451676717058,1280217675839479809
1280224016079425537,1280217675839479809
1280218934390796289,1280217675839479809
1280310697721761792,1280180440897331200
1280225010079145985,1280180440897331200
1280222371438366722,1280180440897331200
1280216952036884480,1280180440897331200
1280206266846138368,1280180440897331200
1280198088158859264,1280180440897331200
1280192606434181120,1280180440897331200
1280192549131620353,1280180440897331200
1280191079279624192,1280180440897331200
1280190067202494465,1280180440897331200
1280189362731462663,1280180440897331200
1280187978250366977,1280180440897331200
1280186173844062208,1280180440897331200
1280184893943709697,1280180440897331200
1281704266122625028,1281631770195230721
1281688019137961984,1281631770195230721
1281641248378351617,1281631770195230721
1281632338208796676,1281631770195230721
1281631884552876032,1281631770195230721
1281627603510734848,1281613675841957888
1281929922504724480,1281389963007926273
1281707874394275840,1281389963007926273
1281654597493248002,1281389963007926273
1281605623466033152,1281389963007926273
1281583792260616192,1281389963007926273
1281540380148797441,1281389963007926273
