,keywords,number_of_times_word_appeared,tf,idf,tf_idf
29,de,38,0.020844761382336808,-3.6375861597263857,-0.07582461550718742
111,es,37,0.02029621503017005,-3.6109179126442243,-0.07328796641131997
55,te,23,0.012616566099835436,-3.1354942159291497,-0.0395591700309218
10,en,21,0.01151947339550192,-3.044522437723423,-0.03507129522336362
103,la,19,0.010422380691168404,-2.9444389791664407,-0.030688063962787917
166,al,18,0.009873834339001646,-2.890371757896165,-0.028539051915595706
133,el,9,0.004936917169500823,-2.1972245773362196,-0.01084751574110037
66,si,8,0.004388370817334065,-2.0794415416798357,-0.009125360577859948
5,con,8,0.004388370817334065,-2.0794415416798357,-0.009125360577859948
102,lo,8,0.004388370817334065,-2.0794415416798357,-0.009125360577859948
30,cáncer,5,0.0027427317608337905,-1.6094379124341003,-0.004414256479523039
51,las,5,0.0027427317608337905,-1.6094379124341003,-0.004414256479523039
8,su,5,0.0027427317608337905,-1.6094379124341003,-0.004414256479523039
35,del,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
85,tu,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
117,no,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
119,un,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
162,se,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
41,para,4,0.0021941854086670325,-1.3862943611198906,-0.00304178685928665
57,una,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
45,mujer,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
46,los,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
47,detectar,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
174,eso,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
79,salud,3,0.0016456390565002743,-1.0986122886681098,-0.0018079192901833952
132,aparato,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
129,sexual,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
65,ginecológica,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
137,mama,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
59,límites,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
58,que,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
4,otros,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
50,estos,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
120,reproductor,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
176,vida,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
95,diu,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
97,este,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
131,No,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
149,Les,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
88,anual,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
7,prevención,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
150,lesiones,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
31,tiempo,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
21,ha,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
152,son,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
153,MÉDICA,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
25,por,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
20,visita,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
163,En,2,0.0010970927043335162,-0.6931471805599453,-0.0007604467148216625
116,Rey,1,0.0005485463521667581,0.0,0.0
165,vista,1,0.0005485463521667581,0.0,0.0
164,pastilladeldiadespues,1,0.0005485463521667581,0.0,0.0
148,perder,1,0.0005485463521667581,0.0,0.0
115,VIERNES,1,0.0005485463521667581,0.0,0.0
122,genital,1,0.0005485463521667581,0.0,0.0
123,dudas,1,0.0005485463521667581,0.0,0.0
118,cuello,1,0.0005485463521667581,0.0,0.0
121,Ambos,1,0.0005485463521667581,0.0,0.0
114,sgte,1,0.0005485463521667581,0.0,0.0
124,lapastilla,1,0.0005485463521667581,0.0,0.0
113,Virtual,1,0.0005485463521667581,0.0,0.0
112,alteraciones,1,0.0005485463521667581,0.0,0.0
175,todavía,1,0.0005485463521667581,0.0,0.0
110,iniciales,1,0.0005485463521667581,0.0,0.0
109,previas,1,0.0005485463521667581,0.0,0.0
167,interés,1,0.0005485463521667581,0.0,0.0
108,algunas,1,0.0005485463521667581,0.0,0.0
168,asintomática,1,0.0005485463521667581,0.0,0.0
107,Detectar,1,0.0005485463521667581,0.0,0.0
106,acceso,1,0.0005485463521667581,0.0,0.0
105,precoz,1,0.0005485463521667581,0.0,0.0
104,planificación,1,0.0005485463521667581,0.0,0.0
171,ocupate,1,0.0005485463521667581,0.0,0.0
125,dudes,1,0.0005485463521667581,0.0,0.0
161,desarrollo,1,0.0005485463521667581,0.0,0.0
127,trata,1,0.0005485463521667581,0.0,0.0
151,rganos,1,0.0005485463521667581,0.0,0.0
147,fertilidad,1,0.0005485463521667581,0.0,0.0
146,decia,1,0.0005485463521667581,0.0,0.0
145,mensaje,1,0.0005485463521667581,0.0,0.0
154,INDISPENSABLE,1,0.0005485463521667581,0.0,0.0
144,Para,1,0.0005485463521667581,0.0,0.0
143,sus,1,0.0005485463521667581,0.0,0.0
155,fácil,1,0.0005485463521667581,0.0,0.0
172,aborto,1,0.0005485463521667581,0.0,0.0
142,anteriores,1,0.0005485463521667581,0.0,0.0
141,Claudia,1,0.0005485463521667581,0.0,0.0
140,favorece,1,0.0005485463521667581,0.0,0.0
126,parece,1,0.0005485463521667581,0.0,0.0
139,Turno,1,0.0005485463521667581,0.0,0.0
156,cuidados,1,0.0005485463521667581,0.0,0.0
138,SOLICITUD,1,0.0005485463521667581,0.0,0.0
157,Dra,1,0.0005485463521667581,0.0,0.0
136,avanzamos,1,0.0005485463521667581,0.0,0.0
135,Médica,1,0.0005485463521667581,0.0,0.0
134,temas,1,0.0005485463521667581,0.0,0.0
158,Enviar,1,0.0005485463521667581,0.0,0.0
173,ginecoysalud,1,0.0005485463521667581,0.0,0.0
159,mirena,1,0.0005485463521667581,0.0,0.0
160,Aclarar,1,0.0005485463521667581,0.0,0.0
130,GINECOLOGÍA,1,0.0005485463521667581,0.0,0.0
128,fin,1,0.0005485463521667581,0.0,0.0
170,resultados,1,0.0005485463521667581,0.0,0.0
169,preservativo,1,0.0005485463521667581,0.0,0.0
0,El,1,0.0005485463521667581,0.0,0.0
100,importante,1,0.0005485463521667581,0.0,0.0
28,LUNES,1,0.0005485463521667581,0.0,0.0
32,Directora,1,0.0005485463521667581,0.0,0.0
33,Modalidad,1,0.0005485463521667581,0.0,0.0
34,ginecologia,1,0.0005485463521667581,0.0,0.0
36,CONSULTA,1,0.0005485463521667581,0.0,0.0
37,diud,1,0.0005485463521667581,0.0,0.0
27,cuidar,1,0.0005485463521667581,0.0,0.0
