condon,embarazo,vagina,menstruacion,boli,bolsa,alergia,latex,rompe,pastillas,postday,hormonas,infertilidad,aborto,efectiva,sin condon,venirse adentro,coca cola,te la tomas,se la echas,ritmo/calendario,mestruacion,prevencion,no se siente igual
gorrito,bendicion,cuca,regla,helao,bolsita,pica,,roto,pastas,al dia siguiente,,estéril,abortar,funcionó,sin goma,se vino adentro,,tomátela,la pones ahí,en esas fechas,cada mes,protegerse,no es igual de rico
chupito,la preñaron,chocha,andrés,,,roncha,,parte,,al acto,,sin hijos,aborte,funciona,al natural,,,tómala,se la pones,en el periodo,regla,protegernos,no es lo mismo
gorro,preñada,papaya,cada mes,,,,,partido,,después,,inútil,abortamos,,,,,bébela,la untas,ovulación,sangrar,protegerme,
forro,le metieron el gol,coño,,,,,,rompido,,un día después,,,perdi el bebe,,,,,te la bebes,te la lavas con eso,en mis días,cada mes,,
casco,le llenaron la piñata,concha,,,,,,no da,,,,,,,,,,,,en sus días,andres,,
forrito,encinta,,,,,,,,,,,,,,,,,,,,periodo,,
goma,la premiaron ,,,,,,,,,,,,,,,,,,,,,,
funda,,,,,,,,,,,,,,,,,,,,,,,
gomita,,,,,,,,,,,,,,,,,,,,,,,
fundita,,,,,,,,,,,,,,,,,,,,,,,
